"","gender","ideology"
"1","Female","2"
"2","Male","2"
"3","Female","2"
"4","Female","1"
"5","Male","4"
"6","Female","1"
"7","Female","1"
"8","Male","4"
"9","Female","3"
"10","Female","3"
"11","Female","3"
"12","Female","1"
"13","Female","4"
"14","Female","1"
"15","Male","1"
"16","Male","1"
"17","Male","1"
"18","Female","3"
"19","Male","0"
"20","Female","3"
"21","Female","5"
"22","Female","1"
"23","Male","7"
"24","Female","1"
"25","Female","3"
"26","Female","2"
"27","Female","3"
"28","Male","2"
"29","Female","1"
"30","Female","0"
"31","Male","1"
"32","Female","0"
"33","Female","3"
"34","Female","4"
"35","Female","4"
"36","Female","2"
"37","Female","3"
"38","Female","4"
"39","Male","7"
"40","Female","3"
"41","Male","2"
"42","Female","1"
"43","Female","4"
"44","Female","3"
"45","Female","2"
"46","Female","1"
"47","Female","1"
"48","Male","3"
"49","Male","2"
"50","Male","4"
"51","Male","4"
"52","Male","5"
"53","Male","7"
"54","Female","6"
"55","Female","5"
"56","Male","3"
"57","Female","3"
"58","Female","1"
"59","Female","3"
"60","Male","8"
"61","Female","2"
"62","Male","2"
"63","Female","0"
"64","Male","3"
"65","Male","1"
"66","Other","1"
"67","Female","4"
"68","Female","4"
"69","Female","2"
"70","Female","4"
"71","Female","3"
"72","Female","6"
"73","Female","4"
"74","Female","3"
"75","Male","2"
"76","Female","3"
"77","Male","9"
"78","Other","0"
"79","Female","3"
"80","Female","4"
"81","Female","2"
"82","Male","4"
"83","Male","7"
"84","Male","7"
"85","Male","4"
"86","Male","5"
"87","Male","2"
"88","Female","2"
"89","Female","2"
"90","Male","0"
"91","Male","3"
"92","Female","3"
"93","Male","6"
"94","Female","3"
"95","Female","1"
"96","Female","5"
"97","Female","0"
"98","Male","4"
"99","Male","4"
"100","Female","0"
"101","Male","4"
"102","Female","3"
"103","Female","4"
"104","Female","5"
"105","Female","1"
"106","Female","8"
"107","Female","3"
"108","Female","3"
"109","Female","2"
"110","Other","2"
"111","Female","1"
"112","Female","3"
"113","Male","2"
"114","Male","1"
"115","Female","2"
"116","Female","5"
"117","Female","2"
"118","Male","3"
"119","Female","0"
"120","Female","6"
"121","Male","4"
"122","Male","6"
"123","Male","1"
"124","Male","5"
"125","Female","4"
"126","Male","5"
"127","Female","4"
"128","Female","1"
"129","Female","4"
"130","Female","0"
"131","Male","1"
"132","Male","7"
"133","Female","4"
"134","Male","2"
"135","Female","1"
"136","Female","5"
"137","Male","7"
"138","Female","2"
"139","Female","7"
"140","Male","8"
"141","Female","3"
"142","Female","0"
"143","Male","1"
"144","Male","4"
"145","Male","4"
"146","Female","3"
"147","Male","4"
"148","Male","0"
"149","Male","4"
"150","Female","1"
"151","Female","4"
"152","Female","5"
"153","Female","3"
"154","Male","4"
"155","Female","2"
"156","Female","3"
"157","Male","1"
"158","Male","5"
"159","Female","6"
"160","Male","4"
"161","Male","2"
"162","Female","3"
"163","Female","4"
"164","Female","5"
"165","Female","1"
"166","Female","3"
"167","Male","2"
"168","Female","3"
"169","Female","6"
"170","Female","2"
"171","Male","4"
"172","Female","0"
"173","Male","4"
"174","Male","7"
"175","Female","0"
"176","Male","7"
"177","Female","2"
"178","Female","3"
"179","Female","3"
"180","Male","3"
"181","Female","3"
"182","Male","2"
"183","Female","0"
"184","Female","1"
"185","Female","3"
"186","Female","0"
"187","Female","2"
"188","Male","2"
"189","Male","6"
"190","Female","6"
"191","Female","5"
"192","Female","2"
"193","Other","1"
"194","Female","3"
"195","Female","2"
"196","Male","1"
"197","Female","4"
"198","Male","6"
"199","Female","0"
"200","Female","3"
"201","Female","2"
"202","Female","2"
"203","Female","7"
"204","Female","1"
"205","Female","1"
"206","Female","2"
"207","Female","2"
"208","Female","2"
"209","Female","3"
"210","Female","3"
"211","Male","1"
"212","Female","3"
"213","Female","3"
"214","Female","2"
"215","Female","3"
"216","Male","2"
"217","Female","5"
"218","Male","2"
"219","Female","0"
"220","Female","6"
"221","Female","1"
"222","Male","3"
"223","Female","2"
"224","Male","8"
"225","Male","5"
"226","Female","7"
"227","Male","6"
"228","Male","4"
"229","Female","1"
"230","Male","1"
"231","Male","2"
"232","Female","4"
"233","Female","2"
"234","Female","5"
"235","Male","3"
"236","Female","5"
"237","Female","0"
"238","Female","3"
"239","Female","0"
"240","Male","5"
"241","Female","3"
"242","Female","1"
"243","Male","7"
"244","Female","4"
"245","Female","1"
"246","Female","1"
"247","Male","5"
"248","Female","3"
"249","Male","7"
"250","Female","3"
"251","Female","1"
"252","Female","5"
"253","Male","0"
"254","Female","4"
"255","Female","2"
"256","Female","2"
"257","Female","1"
"258","Female","1"
"259","Female","1"
"260","Female","1"
"261","Male","6"
"262","Male","3"
"263","Female","1"
"264","Female","1"
"265","Female","1"
"266","Female","5"
"267","Female","5"
"268","Male","4"
"269","Male","2"
"270","Female","3"
"271","Other","2"
"272","Male","0"
"273","Male",""
"274","",""
"275","",""
"276","Female",""
"277","",""
"278","",""
"279","",""
"280","",""
"281","",""
"282","Female","0"
"283","Male",""
"284","",""
"285","Male","0"
